symbol,name_cn,exchange,currency,lot_size,total_shares,circulating_shares,hk_shares,eps,eps_ttm,bps,dividend_yield,stock_derivatives,board
002939.SZ,长城证券,SZSE,CNY,100,4034426956,3602659631,0,0.39,0.597930060288344,7.828231431846997,0.1680000000004957,[],SZMainConnect
002940.SZ,昂利康,SZSE,CNY,100,201728186,201728186,0,0.4,0.5358248216240838,7.90119304632026,0.2187319988590985,[],SZMainConnect
002941.SZ,新疆交建,SZSE,CNY,100,729751172,729751172,0,0.44,0.805227769267632,6.440205928055708,0.1326988787624722,[],SZMainConnect
002942.SZ,新农股份,SZSE,CNY,100,155857930,153209930,0,0.38,0.5560871294774671,7.889079246914161,0.3,[],SZMainNonConnect
002943.SZ,宇晶股份,SZSE,CNY,100,205458161,205458161,0,-2.0085,-1.8694155611078402,4.347086040597823,0.0,[],SZMainConnect
002945.SZ,华林证券,SZSE,CNY,100,2700000000,2700000000,0,0.13,0.181892067362963,2.666000326148148,0.04,[],SZMainConnect
002946.SZ,新乳业,SZSE,CNY,100,860677197,860677197,0,0.62,0.7980019686986084,4.163183146549658,0.3549997698498337,[],SZMainConnect
002947.SZ,恒铭达,SZSE,CNY,100,256209336,255768936,0,1.91,2.162098459362933,12.72949940157528,0.5851759640796228,[],SZMainConnect
002948.SZ,青岛银行,SZSE,CNY,100,5820354724,3113330167,0,0.85,0.8248737796346036,6.822194846006091,0.16,[],SZMainConnect
002949.SZ,华阳国际,SZSE,CNY,100,196043864,196043864,0,0.6284,0.4286125052605574,7.362875938978636,0.349997998662177,[],SZMainNonConnect
002950.SZ,奥美医疗,SZSE,CNY,100,633265407,633265407,0,0.5899,0.7142633269244723,5.891636663788269,0.0586254568931475,[],SZMainConnect
002951.SZ,金时科技,SZSE,CNY,100,405000000,401127800,0,-0.01,0.0172399055802469,4.142310512197531,0.4938339012345679,[],SZMainConnect
002952.SZ,亚世光电,SZSE,CNY,100,164340000,162740000,0,0.1,0.0752823903492759,5.291846053121577,0.0493915054156018,[],SZMainNonConnect
002953.SZ,日丰股份,SZSE,CNY,100,491579648,456888849,0,0.35,0.3534166464515634,4.408677100318035,0.0922213014400466,[],SZMainConnect
002955.SZ,鸿合科技,SZSE,CNY,100,236639912,236639912,0,0.94,0.250093736850274,13.892005059611416,1.2680143340401513,[],SZMainConnect
002956.SZ,西麦食品,SZSE,CNY,100,223246885,223246885,0,0.6,0.702860882605372,6.9948004848085565,0.4176000000179174,[],SZMainNonConnect
002957.SZ,科瑞技术,SZSE,CNY,100,419982466,419415666,0,0.3396,0.5272457398733403,7.6260681213296175,0.1690554721396393,[],SZMainConnect
002958.SZ,青农商行,SZSE,CNY,100,5555622466,5440194932,0,0.409802,0.5347388196698246,6.603670988179059,0.119999930340839,[],SZMainConnect
002959.SZ,小熊电器,SZSE,CNY,100,157286503,157286503,0,1.8499,2.247670294125619,18.120142654389106,0.9848414901817736,[],SZMainConnect
002960.SZ,青鸟消防,SZSE,CNY,100,875339387,875339387,0,0.4038,0.2922080210472695,7.196172012673297,0.1655208370053614,[],SZMainConnect
002961.SZ,瑞达期货,SZSE,CNY,100,476933433,476933433,0,0.86,1.0421016071230218,6.2790931156843435,0.3545852520680805,[],SZMainConnect
002962.SZ,五方光电,SZSE,CNY,100,291665352,291665352,0,0.22,0.1274628240038604,6.07137770639277,0.1979428478703909,[],SZMainConnect
002963.SZ,豪尔赛,SZSE,CNY,100,150359930,150359930,0,-1.19,-1.409264927098596,8.59084937403203,0.2,[],SZMainNonConnect
002965.SZ,祥鑫科技,SZSE,CNY,100,265380359,265380359,0,1.3044,0.9377215734718333,16.0737922619963,0.4115384621587613,[],SZMainConnect
002966.SZ,苏州银行,SZSE,CNY,100,4470662011,4397893302,0,1.136004,1.2002236862902047,11.218516968313935,0.41,[],SZMainConnect
002967.SZ,广电计量,SZSE,CNY,100,583135846,575225846,0,0.61,0.6896500644894329,5.861377675777455,0.2882969924644283,[],SZMainConnect
002968.SZ,新大正,SZSE,CNY,100,226277783,226277783,0,0.502809,0.4887432249590319,5.5948879020968665,0.3324573509278195,[],SZMainNonConnect
